sentiment,source,length
positive,IMDB Review,307
positive,IMDB Review,162
positive,IMDB Review,166
negative,IMDB Review,138
positive,IMDB Review,230
positive,IMDB Review,119
positive,IMDB Review,150
negative,IMDB Review,174
negative,IMDB Review,130
positive,IMDB Review,33
negative,IMDB Review,96
negative,IMDB Review,180
negative,IMDB Review,398
negative,IMDB Review,117
positive,IMDB Review,50
negative,IMDB Review,140
positive,IMDB Review,146
negative,IMDB Review,228
positive,IMDB Review,129
negative,IMDB Review,133
positive,IMDB Review,308
negative,IMDB Review,180
positive,IMDB Review,65
negative,IMDB Review,332
negative,IMDB Review,151
positive,IMDB Review,114
positive,IMDB Review,570
negative,IMDB Review,145
negative,IMDB Review,122
positive,IMDB Review,615
positive,IMDB Review,400
positive,IMDB Review,354
negative,IMDB Review,105
positive,IMDB Review,652
negative,IMDB Review,253
negative,IMDB Review,369
negative,IMDB Review,95
negative,IMDB Review,310
positive,IMDB Review,122
negative,IMDB Review,259
negative,IMDB Review,123
positive,IMDB Review,212
negative,IMDB Review,176
negative,IMDB Review,262
positive,IMDB Review,178
positive,IMDB Review,235
negative,IMDB Review,76
negative,IMDB Review,143
positive,IMDB Review,707
negative,IMDB Review,99
positive,IMDB Review,419
positive,IMDB Review,621
positive,IMDB Review,166
positive,IMDB Review,80
negative,IMDB Review,194
negative,IMDB Review,211
negative,IMDB Review,210
negative,IMDB Review,165
positive,IMDB Review,488
positive,IMDB Review,445
negative,IMDB Review,171
negative,IMDB Review,153
positive,IMDB Review,86
negative,IMDB Review,47
negative,IMDB Review,180
positive,IMDB Review,293
negative,IMDB Review,336
negative,IMDB Review,143
negative,IMDB Review,199
negative,IMDB Review,300
negative,IMDB Review,221
negative,IMDB Review,284
positive,IMDB Review,245
positive,IMDB Review,190
negative,IMDB Review,271
positive,IMDB Review,150
positive,IMDB Review,309
negative,IMDB Review,608
negative,IMDB Review,137
positive,IMDB Review,293
positive,IMDB Review,160
negative,IMDB Review,149
negative,IMDB Review,257
negative,IMDB Review,426
negative,IMDB Review,75
negative,IMDB Review,147
negative,IMDB Review,297
negative,IMDB Review,138
negative,IMDB Review,193
negative,IMDB Review,352
positive,IMDB Review,173
negative,IMDB Review,190
positive,IMDB Review,398
positive,IMDB Review,173
negative,IMDB Review,137
positive,IMDB Review,263
negative,IMDB Review,186
negative,IMDB Review,130
negative,IMDB Review,189
positive,IMDB Review,525
positive,IMDB Review,137
negative,IMDB Review,766
positive,IMDB Review,147
positive,IMDB Review,299
negative,IMDB Review,180
positive,IMDB Review,214
positive,IMDB Review,111
negative,IMDB Review,309
positive,IMDB Review,169
positive,IMDB Review,122
negative,IMDB Review,140
negative,IMDB Review,196
negative,IMDB Review,40
positive,IMDB Review,96
positive,IMDB Review,266
positive,IMDB Review,125
positive,IMDB Review,341
negative,IMDB Review,87
negative,IMDB Review,95
negative,IMDB Review,281
positive,IMDB Review,115
positive,IMDB Review,168
negative,IMDB Review,205
negative,IMDB Review,162
positive,IMDB Review,141
negative,IMDB Review,123
negative,IMDB Review,400
negative,IMDB Review,134
positive,IMDB Review,208
positive,IMDB Review,130
positive,IMDB Review,197
positive,IMDB Review,434
negative,IMDB Review,160
negative,IMDB Review,125
negative,IMDB Review,188
negative,IMDB Review,421
positive,IMDB Review,103
negative,IMDB Review,253
positive,IMDB Review,286
negative,IMDB Review,271
negative,IMDB Review,393
negative,IMDB Review,287
negative,IMDB Review,569
positive,IMDB Review,83
negative,IMDB Review,251
positive,IMDB Review,316
positive,IMDB Review,220
positive,IMDB Review,300
negative,IMDB Review,139
negative,IMDB Review,282
positive,IMDB Review,163
negative,IMDB Review,181
negative,IMDB Review,177
positive,IMDB Review,194
negative,IMDB Review,200
negative,IMDB Review,93
negative,IMDB Review,845
positive,IMDB Review,140
negative,IMDB Review,138
positive,IMDB Review,119
positive,IMDB Review,53
negative,IMDB Review,214
negative,IMDB Review,74
negative,IMDB Review,487
positive,IMDB Review,374
negative,IMDB Review,76
positive,IMDB Review,123
negative,IMDB Review,231
negative,IMDB Review,116
negative,IMDB Review,356
negative,IMDB Review,248
negative,IMDB Review,154
positive,IMDB Review,621
positive,IMDB Review,373
negative,IMDB Review,274
negative,IMDB Review,283
positive,IMDB Review,219
negative,IMDB Review,761
positive,IMDB Review,207
negative,IMDB Review,220
positive,IMDB Review,143
negative,IMDB Review,127
negative,IMDB Review,545
negative,IMDB Review,283
negative,IMDB Review,65
negative,IMDB Review,287
positive,IMDB Review,530
negative,IMDB Review,97
positive,IMDB Review,203
negative,IMDB Review,524
positive,IMDB Review,326
positive,IMDB Review,762
positive,IMDB Review,107
positive,IMDB Review,55
negative,IMDB Review,139
negative,IMDB Review,174
negative,IMDB Review,198
negative,IMDB Review,177
positive,IMDB Review,503
negative,IMDB Review,119
negative,IMDB Review,100
positive,IMDB Review,231
positive,IMDB Review,320
positive,IMDB Review,64
negative,IMDB Review,193
positive,IMDB Review,99
negative,IMDB Review,107
negative,IMDB Review,137
positive,IMDB Review,152
positive,IMDB Review,62
negative,IMDB Review,564
negative,IMDB Review,47
negative,IMDB Review,130
positive,IMDB Review,82
negative,IMDB Review,139
positive,IMDB Review,340
positive,IMDB Review,249
negative,IMDB Review,109
positive,IMDB Review,437
negative,IMDB Review,168
negative,IMDB Review,108
positive,IMDB Review,247
positive,IMDB Review,306
negative,IMDB Review,291
positive,IMDB Review,259
negative,IMDB Review,231
positive,IMDB Review,296
positive,IMDB Review,185
positive,IMDB Review,641
positive,IMDB Review,148
negative,IMDB Review,73
positive,IMDB Review,53
positive,IMDB Review,137
positive,IMDB Review,73
positive,IMDB Review,151
positive,IMDB Review,133
positive,IMDB Review,69
negative,IMDB Review,145
positive,IMDB Review,267
negative,IMDB Review,170
negative,IMDB Review,125
positive,IMDB Review,122
negative,IMDB Review,134
positive,IMDB Review,148
negative,IMDB Review,139
positive,IMDB Review,46
negative,IMDB Review,201
negative,IMDB Review,135
positive,IMDB Review,161
negative,IMDB Review,119
negative,IMDB Review,127
negative,IMDB Review,215
negative,IMDB Review,343
negative,IMDB Review,350
positive,IMDB Review,423
negative,IMDB Review,376
negative,IMDB Review,130
negative,IMDB Review,421
positive,IMDB Review,484
positive,IMDB Review,217
positive,IMDB Review,460
negative,IMDB Review,147
negative,IMDB Review,267
negative,IMDB Review,918
negative,IMDB Review,120
positive,IMDB Review,137
negative,IMDB Review,177
negative,IMDB Review,560
negative,IMDB Review,152
positive,IMDB Review,115
negative,IMDB Review,219
positive,IMDB Review,155
positive,IMDB Review,328
positive,IMDB Review,387
negative,IMDB Review,182
positive,IMDB Review,151
negative,IMDB Review,654
positive,IMDB Review,335
negative,IMDB Review,179
positive,IMDB Review,65
positive,IMDB Review,268
negative,IMDB Review,98
negative,IMDB Review,164
negative,IMDB Review,175
positive,IMDB Review,196
negative,IMDB Review,129
positive,IMDB Review,327
positive,IMDB Review,103
positive,IMDB Review,326
positive,IMDB Review,128
positive,IMDB Review,172
positive,IMDB Review,107
positive,IMDB Review,145
positive,IMDB Review,188
positive,IMDB Review,129
negative,IMDB Review,443
negative,IMDB Review,132
positive,IMDB Review,587
positive,IMDB Review,276
positive,IMDB Review,127
negative,IMDB Review,155
negative,IMDB Review,155
positive,IMDB Review,118
positive,IMDB Review,249
positive,IMDB Review,213
positive,IMDB Review,87
positive,IMDB Review,295
negative,IMDB Review,137
negative,IMDB Review,91
negative,IMDB Review,124
positive,IMDB Review,1011
negative,IMDB Review,83
negative,IMDB Review,114
negative,IMDB Review,78
negative,IMDB Review,424
negative,IMDB Review,297
positive,IMDB Review,150
positive,IMDB Review,80
positive,IMDB Review,209
negative,IMDB Review,344
positive,IMDB Review,931
positive,IMDB Review,72
negative,IMDB Review,716
